language,total_repos,top_repo_name,top_repo_stars,top_repo_url,snapshot_date,share_pct,trend,is_surge
Python,110355,NousResearch/hermes-agent,128013,https://github.com/NousResearch/hermes-agent,2026-05-01,43.52,pending,pending
TypeScript,49258,openclaw/openclaw,367120,https://github.com/openclaw/openclaw,2026-05-01,19.43,pending,pending
JavaScript,29834,affaan-m/everything-claude-code,171432,https://github.com/affaan-m/everything-claude-code,2026-05-01,11.77,pending,pending
Rust,15995,ultraworkers/claw-code,189525,https://github.com/ultraworkers/claw-code,2026-05-01,6.31,pending,pending
C++,14954,LadybirdBrowser/ladybird,62618,https://github.com/LadybirdBrowser/ladybird,2026-05-01,5.9,pending,pending
Go,13569,danielmiessler/Fabric,41314,https://github.com/danielmiessler/Fabric,2026-05-01,5.35,pending,pending
Java,8522,opendataloader-project/opendataloader-pdf,19844,https://github.com/opendataloader-project/opendataloader-pdf,2026-05-01,3.36,pending,pending
Kotlin,5258,kavishdevar/librepods,26774,https://github.com/kavishdevar/librepods,2026-05-01,2.07,pending,pending
Swift,4623,apple/container,26263,https://github.com/apple/container,2026-05-01,1.82,pending,pending
Ruby,1208,antiwork/gumroad,8995,https://github.com/antiwork/gumroad,2026-05-01,0.48,pending,pending
